Name,Url,Authority,Started On,Finished On,License Number
Oracle Cloud Infrastructure 2025 Certified Generative AI Professional,https://catalog-education.oracle.com/ords/certview/sharebadge?id=8B91268656F56C308A268C480875054556F37B7C7212388096C55FD9D17D080F,Oracle,,,
Oracle AI Vector Search Certified Professional,https://catalog-education.oracle.com/ords/certview/sharebadge?id=9A9ECF3D3E7F2698F5015F5B2E6021EAFD521124C1ADD45C3C1EF9435A983AE7,Oracle,,,
